URL	URLLength	Domain	DomainLength	IsDomainIP	TLD	URLSimilarityIndex	CharContinuationRate	TLDLegitimateProb	URLCharProb	TLDLength	NoOfSubDomain	HasObfuscation	NoOfObfuscatedChar	ObfuscationRatio	NoOfLettersInURL	LetterRatioInURL	NoOfDigitsInURL	DigitRatioInURL	NoOfEqualsInURL	NoOfQMarkInURL	NoOfAmpersandInURL	NoOfOtherSpecialCharsInURL	SpecialCharRatioInURL	IsHTTPS	LineOfCode	LargestLineLength	HasFavicon	Robots	IsResponsive	NoOfURLRedirect	NoOfSelfRedirect	HasDescription	NoOfPopup	NoOfiFrame	HasExternalFormSubmit	HasSubmitButton	HasHiddenFields	HasPasswordField	NoOfImage	NoOfCSS	NoOfJS	NoOfSelfRef	NoOfEmptyRef	NoOfExternalRef	Label
https://www.socialpolicy.org	27	www.socialpolicy.org	20	0	org	100	1	0.0799628	0.064491134	3	1	0	0	0	14	0.519	0	0	0	0	0	1	0.037	1	1043	1037	1	0	0	0	0	1	12	1	0	1	1	1	16	9	13	92	1	18	1
https://www.aoh61.com	20	www.aoh61.com	13	0	com	100	1	0.5229071	0.055131169	3	1	0	0	0	5	0.25	2	0.1	0	0	0	1	0.05	1	5966	22382	1	0	1	0	0	0	0	5	0	0	0	0	16	4	7	4	0	14	1
https://www.bulgariaski.com	26	www.bulgariaski.com	19	0	com	100	1	0.5229071	0.055714659	3	1	0	0	0	13	0.5	0	0	0	0	0	1	0.038	1	2639	1574	1	1	1	0	0	0	0	2	0	1	1	0	63	12	22	156	2	184	1
https://www.brightika.com	24	www.brightika.com	17	0	com	100	1	0.5229071	0.053754992	3	1	0	0	0	11	0.458	0	0	0	0	0	1	0.042	1	5509	550	1	0	1	0	0	0	0	0	0	1	0	0	12	14	19	2	1	14	1
https://www.motley.ie	20	www.motley.ie	13	0	ie	100	1	0.0015878	0.061203697	2	1	0	0	0	7	0.35	0	0	0	0	0	1	0.05	1	2839	8047	0	1	1	0	0	0	0	0	0	1	0	0	56	10	16	235	0	254	1
https://www.funzine.hu	21	www.funzine.hu	14	0	hu	100	1	0.0022172	0.042916591	2	1	0	0	0	8	0.381	0	0	0	0	0	1	0.048	1	1576	1907	0	1	1	0	0	1	0	2	0	1	1	0	52	10	27	0	1	143	1
https://www.dixxon.com	21	www.dixxon.com	14	0	com	100	1	0.5229071	0.054492147	3	1	0	0	0	8	0.381	0	0	0	0	0	1	0.048	1	5004	13844	1	0	1	0	0	1	0	21	0	1	1	1	259	14	33	168	1	90	1
https://www.ooty.ind.in	22	www.ooty.ind.in	15	0	in	100	0.625	0.0050842	0.060958413	2	2	0	0	0	8	0.364	0	0	0	0	0	2	0.091	1	719	1842	1	0	1	0	0	1	0	0	0	0	0	0	21	0	2	2	0	1	1
http://www.f0519141.xsph.ru	26	www.f0519141.xsph.ru	20	0	ru	55.28492647	0.923076923	0.0180132	0.015061052	2	2	0	0	0	6	0.231	7	0.269	0	0	0	2	0.077	0	9	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.shprakserf.gq	24	www.shprakserf.gq	17	0	gq	56.55114117	1	0.000053	0.042982074	2	1	0	0	0	12	0.5	0	0	0	0	0	1	0.042	0	20	211	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.diariodealmeria.es	29	www.diariodealmeria.es	22	0	es	100	1	0.0064109	0.068406052	2	1	0	0	0	16	0.552	0	0	0	0	0	1	0.034	1	11406	467	0	1	1	1	0	1	0	2	0	0	0	0	217	4	10	609	12	93	1
https://www.town.minamichita.lg.jp	33	www.town.minamichita.lg.jp	26	0	jp	100	0.631578947	0.0230451	0.054905556	2	3	0	0	0	18	0.545	0	0	0	0	0	3	0.091	1	407	1497	1	0	0	0	0	1	0	0	0	1	1	0	37	10	21	2	0	7	1
https://www.bwresearch.com	25	www.bwresearch.com	18	0	com	100	1	0.5229071	0.062164929	3	1	0	0	0	12	0.48	0	0	0	0	0	1	0.04	1	317	191	0	0	1	0	0	0	0	0	0	0	0	0	14	2	4	2	2	4	1
https://www.musicvideoproduction.guru	36	www.musicvideoproduction.guru	29	0	guru	100	1	0.0000954	0.056798719	4	1	0	0	0	23	0.639	0	0	0	0	0	1	0.028	1	795	3398	1	0	1	0	0	1	0	2	0	0	0	0	10	3	6	23	2	17	1
https://service-mitld.firebaseapp.com/	37	service-mitld.firebaseapp.com	29	0	com	64.64526358	0.48	0.5229071	0.059401289	3	1	0	0	0	26	0.703	0	0	0	0	0	3	0.081	1	16	113	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.kuradox92.lima-city.de	32	www.kuradox92.lima-city.de	26	0	de	45.84980237	0.526315789	0.0326503	0.0452655	2	2	0	0	0	16	0.5	2	0.062	0	0	0	3	0.094	0	43	283	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
https://liuy-9a930.web.app/	26	liuy-9a930.web.app	18	0	app	54.51591943	0.571428571	0.001502	0.032795326	3	1	0	0	0	11	0.423	4	0.154	0	0	0	3	0.115	1	108	8125	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
https://www.landed.com	21	www.landed.com	14	0	com	100	1	0.5229071	0.063377153	3	1	0	0	0	8	0.381	0	0	0	0	0	1	0.048	1	1465	1501	1	0	1	0	0	1	0	1	0	0	1	0	13	17	29	45	1	59	1
https://ipfs.io/ipfs/qmrvvyr84esa2assw9vvwupqjgsdn4c3dwkusfdwzdz3kn?clientid=noc@protocol.ai	91	ipfs.io	7	0	io	9.669201014	1	0.0129268	0.041482802	2	0	0	0	0	69	0.758	7	0.077	1	1	0	5	0.077	1	105	1607	1	0	1	1	0	0	0	0	0	1	0	1	0	5	6	0	0	2	0
http://att-103731-107123.weeblysite.com/	40	att-103731-107123.weeblysite.com	32	0	com	36.61221591	0.607142857	0.5229071	0.035013849	3	1	0	0	0	16	0.4	12	0.3	0	0	0	5	0.125	0	13	119	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
https://www.bikeseoul.com	24	www.bikeseoul.com	17	0	com	100	1	0.5229071	0.062644799	3	1	0	0	0	11	0.458	0	0	0	0	0	1	0.042	1	1331	343	0	0	0	1	0	0	3	0	0	0	1	1	15	29	17	49	0	13	1
https://hidok4f8zl.firebaseapp.com/	35	hidok4f8zl.firebaseapp.com	26	0	com	63.90532544	0.590909091	0.5229071	0.047810565	3	1	0	0	0	22	0.629	2	0.057	0	0	0	3	0.086	1	108	8125	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
https://www.ibeani.co.uk	23	www.ibeani.co.uk	16	0	uk	100	0.777777778	0.028555	0.065006937	2	2	0	0	0	9	0.391	0	0	0	0	0	2	0.087	1	2625	3976	1	0	1	0	0	1	0	20	0	1	1	1	64	69	20	137	0	23	1
https://www.metroretrovintage.com	32	www.metroretrovintage.com	25	0	com	100	1	0.5229071	0.068597251	3	1	0	0	0	19	0.594	0	0	0	0	0	1	0.031	1	3188	2683	0	0	1	0	0	1	0	19	0	1	0	1	85	3	20	93	0	9	1
http://www.ooguy.com	19	www.ooguy.com	13	0	com	79.25925926	1	0.5229071	0.064809075	3	1	0	0	0	7	0.368	0	0	0	0	0	1	0.053	0	2	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
https://www.vysor.io	19	www.vysor.io	12	0	io	100	1	0.0129268	0.05131194	2	1	0	0	0	6	0.316	0	0	0	0	0	1	0.053	1	229	171	0	0	1	0	0	0	0	1	0	0	0	0	3	4	8	7	0	4	1
http://www.fairytalesinc.com	27	www.fairytalesinc.com	21	0	com	76.65441176	1	0.5229071	0.061914384	3	1	0	0	0	15	0.556	0	0	0	0	0	1	0.037	0	2	2826	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
http://www.iuhjn.pplink.club	27	www.iuhjn.pplink.club	21	0	club	47.36639754	0.583333333	0.0006227	0.039958523	4	2	0	0	0	14	0.519	0	0	0	0	0	2	0.074	0	8	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://mechinchem-5cb8a.web.app/	32	mechinchem-5cb8a.web.app	24	0	app	49.27777778	0.6	0.001502	0.050001333	3	1	0	0	0	19	0.594	2	0.062	0	0	0	3	0.094	1	2	3306	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0
https://www.salutlive.com	24	www.salutlive.com	17	0	com	100	1	0.5229071	0.058978238	3	1	0	0	0	11	0.458	0	0	0	0	0	1	0.042	1	2262	739	0	0	1	0	0	1	1	3	0	1	1	0	2	11	24	266	0	369	1
https://www.recettessimples.fr	29	www.recettessimples.fr	22	0	fr	100	1	0.0141483	0.061103084	2	1	0	0	0	16	0.552	0	0	0	0	0	1	0.034	1	3051	1021	0	0	0	0	0	1	0	0	0	1	1	1	56	1	18	71	0	283	1
https://fb-restriction-case-97be5.web.app/	41	fb-restriction-case-97be5.web.app	33	0	app	34.32722951	0.482758621	0.001502	0.05160881	3	1	0	0	0	25	0.61	3	0.073	0	0	0	5	0.122	1	108	8125	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
https://pontosapontamentolu.com/gclid/=/c/?gclid=ishecabh95cvbhb1eiwagy6m4vn7url3tlj5m_nu__lcyj4n06pqquydbh-56148buwwbmv7k1qejboci-isjw5_kiq	140	pontosapontamentolu.com	23	0	com	9.20379461	1	0.5229071	0.037272312	3	0	0	0	0	99	0.707	19	0.136	2	1	0	11	0.1	1	11	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.ainewsletter.com	27	www.ainewsletter.com	20	0	com	100	1	0.5229071	0.06627117	3	1	0	0	0	14	0.519	0	0	0	0	0	1	0.037	1	325	569	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	21	1	21	1
https://www.marrugeku.com.au	27	www.marrugeku.com.au	20	0	au	100	0.769230769	0.0100856	0.060261303	2	2	0	0	0	13	0.481	0	0	0	0	0	2	0.074	1	567	1820	1	1	1	0	0	0	0	2	0	1	1	0	9	10	20	83	0	84	1
https://www.sweatdrop.com	24	www.sweatdrop.com	17	0	com	100	1	0.5229071	0.062492995	3	1	0	0	0	11	0.458	0	0	0	0	0	1	0.042	1	301	263	0	0	0	0	0	0	0	0	0	0	0	0	23	1	5	39	0	12	1
http://www.komaru.today	22	www.komaru.today	16	0	today	65.84022039	1	0.0001604	0.062467929	5	1	0	0	0	10	0.455	0	0	0	0	0	1	0.045	0	2	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://dev-634536.pantheonsite.io/	34	dev-634536.pantheonsite.io	26	0	io	76.13412229	0.826086957	0.0129268	0.04598469	2	1	0	0	0	17	0.5	6	0.176	0	0	0	3	0.088	1	141	161	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0
https://www.senacases.com	24	www.senacases.com	17	0	com	100	1	0.5229071	0.074052865	3	1	0	0	0	11	0.458	0	0	0	0	0	1	0.042	1	5194	2716	1	0	1	1	0	1	0	23	0	1	1	1	42	26	53	139	3	40	1
https://sabadonoappmagazine.com/	32	sabadonoappmagazine.com	23	0	com	64.42974165	1	0.5229071	0.062301654	3	0	0	0	0	22	0.688	0	0	0	0	0	2	0.062	1	98	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.vespatales.com	25	www.vespatales.com	18	0	com	100	1	0.5229071	0.063532013	3	1	0	0	0	12	0.48	0	0	0	0	0	1	0.04	1	3176	3960	1	0	0	0	0	0	5	10	0	1	0	0	180	3	7	260	0	124	1
http://www.nextraload.com	24	www.nextraload.com	18	0	com	72.10884354	1	0.5229071	0.065133791	3	1	0	0	0	12	0.5	0	0	0	0	0	1	0.042	0	2	479	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.klerk.ru	19	www.klerk.ru	12	0	ru	100	1	0.0180132	0.048096855	2	1	0	0	0	6	0.316	0	0	0	0	0	1	0.053	1	3394	7250	1	0	1	0	0	1	0	0	0	0	0	0	15	4	8	142	1	91	1
https://www.karenmillen.com	26	www.karenmillen.com	19	0	com	100	1	0.5229071	0.064599296	3	1	0	0	0	13	0.5	0	0	0	0	0	1	0.038	1	3304	25182	0	1	1	1	0	1	0	0	1	1	1	1	3	8	50	403	2	417	1
https://topaka.cloud/ob52gtplj/18snwp	36	topaka.cloud	12	0	cloud	32.01743956	1	0.0001819	0.042140183	5	0	0	0	0	21	0.583	4	0.111	0	0	0	3	0.083	1	90	394	0	1	1	0	0	0	0	0	0	1	1	0	0	2	0	2	0	2	0
https://www.mlpack.org	21	www.mlpack.org	14	0	org	100	1	0.0799628	0.058046018	3	1	0	0	0	8	0.381	0	0	0	0	0	1	0.048	1	533	234	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	10	1
https://metafb-tvz6efk.web.app/	30	metafb-tvz6efk.web.app	22	0	app	51.95337114	0.444444444	0.001502	0.040628727	3	1	0	0	0	18	0.6	1	0.033	0	0	0	3	0.1	1	36	247	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
http://www.hesselawchambers.com	30	www.hesselawchambers.com	24	0	com	62.82548476	1	0.5229071	0.060811307	3	1	0	0	0	18	0.6	0	0	0	0	0	1	0.033	0	2	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.schmitzfotografia.com.br	35	www.schmitzfotografia.com.br	28	0	br	100	0.857142857	0.0094423	0.057284654	2	2	0	0	0	21	0.6	0	0	0	0	0	2	0.057	1	812	1057	0	0	1	0	0	1	0	0	0	0	0	0	9	6	5	22	2	11	1
https://www.lanereport.com	25	www.lanereport.com	18	0	com	100	1	0.5229071	0.070239275	3	1	0	0	0	12	0.48	0	0	0	0	0	1	0.04	1	1990	16389	0	1	1	0	0	1	0	2	1	1	1	0	49	26	29	268	0	297	1
https://www.spg.pt	17	www.spg.pt	10	0	pt	100	1	0.0015361	0.033447415	2	1	0	0	0	4	0.235	0	0	0	0	0	1	0.059	1	1138	9530	0	1	1	1	0	1	0	1	0	0	0	0	18	16	19	143	8	159	1
https://www.coraevans.com	24	www.coraevans.com	17	0	com	100	1	0.5229071	0.071746922	3	1	0	0	0	11	0.458	0	0	0	0	0	1	0.042	1	801	484	1	0	1	0	0	1	0	2	0	0	1	0	23	2	9	66	0	67	1
https://www.torahmates.org	25	www.torahmates.org	18	0	org	100	1	0.0799628	0.069403421	3	1	0	0	0	12	0.48	0	0	0	0	0	1	0.04	1	1103	556	0	0	1	0	0	1	0	9	0	1	1	0	31	13	8	34	2	24	1
https://www.larepublica.co	25	www.larepublica.co	18	0	co	100	1	0.0059772	0.057415787	2	1	0	0	0	12	0.48	0	0	0	0	0	1	0.04	1	4328	2624	1	0	1	0	0	1	0	9	0	0	0	0	216	5	10	406	0	444	1
https://www.pimpim.lt	20	www.pimpim.lt	13	0	lt	100	1	0.0005524	0.048970194	2	1	0	0	0	7	0.35	0	0	0	0	0	1	0.05	1	3659	659	0	0	1	0	0	1	0	0	0	0	0	0	63	5	7	433	0	442	1
http://www.httpzen.fairhash.org	30	www.httpzen.fairhash.org	24	0	org	48.80952381	0.5625	0.0799628	0.051875492	3	2	0	0	0	17	0.567	0	0	0	0	0	2	0.067	0	9	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.cjplogger.com	23	www.cjplogger.com	17	0	com	84.78444632	1	0.5229071	0.057462154	3	1	0	0	0	11	0.478	0	0	0	0	0	1	0.043	0	2	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.radware.com	22	www.radware.com	15	0	com	100	1	0.5229071	0.065891816	3	1	0	0	0	9	0.409	0	0	0	0	0	1	0.045	1	2193	9477	1	0	1	0	0	1	0	2	0	1	1	0	39	1	9	347	2	43	1
http://www.erlegen.de	20	www.erlegen.de	14	0	de	78.18181818	1	0.0326503	0.061197443	2	1	0	0	0	8	0.4	0	0	0	0	0	1	0.05	0	11	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
http://www.f0535398.xsph.ru	26	www.f0535398.xsph.ru	20	0	ru	61.67279412	0.923076923	0.0180132	0.014753016	2	2	0	0	0	6	0.231	7	0.269	0	0	0	2	0.077	0	9	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://ggsexpole.web.app/	26	ggsexpole.web.app	17	0	app	52.18836565	0.769230769	0.001502	0.047984494	3	1	0	0	0	15	0.577	0	0	0	0	0	3	0.115	1	16	110	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
https://www.classfmonline.com	28	www.classfmonline.com	21	0	com	100	1	0.5229071	0.064890904	3	1	0	0	0	15	0.536	0	0	0	0	0	1	0.036	1	662	377	1	0	1	0	0	1	0	2	0	0	0	0	65	6	11	71	23	48	1
https://www.cornerstoneinsurance.ca	34	www.cornerstoneinsurance.ca	27	0	ca	100	1	0.0101825	0.069115313	2	1	0	0	0	21	0.618	0	0	0	0	0	1	0.029	1	3570	1902	0	1	1	0	0	1	1	2	0	1	0	0	19	13	29	133	0	167	1
https://www.varzesh3.com	23	www.varzesh3.com	16	0	com	100	1	0.5229071	0.050478879	3	1	0	0	0	9	0.391	1	0.043	0	0	0	1	0.043	1	7483	7543	1	0	1	0	0	1	0	2	0	0	0	0	82	6	10	721	0	726	1
https://s3.amazonaws.com/appforest_uf/f1678949673383x832048620362898600/index%20%284%29.html	92	s3.amazonaws.com	16	0	com	19.41043084	0.916666667	0.5229071	0.025063426	3	1	1	9	0.098	35	0.38	39	0.424	0	0	3	7	0.109	1	3	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.medicalplasticsnews.com	34	www.medicalplasticsnews.com	27	0	com	100	1	0.5229071	0.061070397	3	1	0	0	0	21	0.618	0	0	0	0	0	1	0.029	1	1193	2503	1	0	1	0	0	1	0	3	0	1	0	0	25	2	20	81	6	94	1
https://www.gitguardian.com	26	www.gitguardian.com	19	0	com	100	1	0.5229071	0.058311271	3	1	0	0	0	13	0.5	0	0	0	0	0	1	0.038	1	3600	17379	0	0	0	0	0	0	0	0	0	1	1	1	12	1	16	12	0	17	1
https://ormvoixregl1.firebaseapp.com/	36	ormvoixregl1.firebaseapp.com	28	0	com	63.42364532	0.541666667	0.5229071	0.056885502	3	1	0	0	0	25	0.694	1	0.028	0	0	0	2	0.056	1	191	2456	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
https://www.crowncenter.com	26	www.crowncenter.com	19	0	com	100	1	0.5229071	0.069816862	3	1	0	0	0	13	0.5	0	0	0	0	0	1	0.038	1	621	868	1	0	1	0	0	1	0	2	0	1	0	0	18	27	16	79	0	12	1
http://nmve.xyz/	15	nmve.xyz	8	0	xyz	72.91666667	1	0.0017496	0.034559565	3	0	0	0	0	7	0.467	0	0	0	0	0	1	0.067	0	44	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
http://www.maytheday.oss-ap-southeast-2.aliyuncs.com	51	www.maytheday.oss-ap-southeast-2.aliyuncs.com	45	0	com	72.68915895	0.297297297	0.5229071	0.05639785	3	3	0	0	0	33	0.647	1	0.02	0	0	0	6	0.118	0	10	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://www.dancetheyard.org	27	www.dancetheyard.org	20	0	org	100	1	0.0799628	0.060847774	3	1	0	0	0	14	0.519	0	0	0	0	0	1	0.037	1	2649	15774	1	0	1	0	0	1	0	1	0	1	1	0	27	3	14	89	0	22	1
https://www.olly.com	19	www.olly.com	12	0	com	100	1	0.5229071	0.062819271	3	1	0	0	0	6	0.316	0	0	0	0	0	1	0.053	1	11523	3757	1	0	1	0	0	1	0	22	0	1	1	1	181	7	49	145	3	19	1
https://www.naturalearthdata.com	31	www.naturalearthdata.com	24	0	com	100	1	0.5229071	0.063778944	3	1	0	0	0	18	0.581	0	0	0	0	0	1	0.032	1	534	1820	1	0	0	0	0	0	0	0	0	1	0	0	42	7	11	53	0	54	1
https://att-104164.weeblysite.com/	34	att-104164.weeblysite.com	25	0	com	66.69538462	0.80952381	0.5229071	0.044095497	3	1	0	0	0	16	0.471	6	0.176	0	0	0	4	0.118	1	68	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
https://www.frdc.com.au	22	www.frdc.com.au	15	0	au	100	0.625	0.0100856	0.062284949	2	2	0	0	0	8	0.364	0	0	0	0	0	2	0.091	1	4140	1020	1	0	1	0	0	0	0	1	0	1	1	0	11	2	4	331	0	11	1
https://www.lukul.sk	19	www.lukul.sk	12	0	sk	100	1	0.0009815	0.03684609	2	1	0	0	0	6	0.316	0	0	0	0	0	1	0.053	1	592	3145	0	1	1	0	0	0	0	0	0	0	1	0	13	11	25	25	0	29	1
https://www.cityparkapp.pl	25	www.cityparkapp.pl	18	0	pl	100	1	0.0069695	0.045474226	2	1	0	0	0	12	0.48	0	0	0	0	0	1	0.04	1	420	273	1	0	1	0	0	1	0	0	0	0	0	0	18	7	20	80	2	14	1
http://tkmowpikuk.owl4fsrch.club/vnafvra97w/?q=3717065149&id=100	64	tkmowpikuk.owl4fsrch.club	25	0	club	14.33862939	0.6	0.0006227	0.028541331	4	1	0	0	0	33	0.516	16	0.25	2	1	0	5	0.125	0	2	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://a04854e8-0cca-4b74-80e6-aacb14a4a5f7.id.repl.co	55	a04854e8-0cca-4b74-80e6-aacb14a4a5f7.id.repl.co	47	0	co	32.81965848	0.227272727	0.0059772	0.036352669	2	2	0	0	0	22	0.4	18	0.327	0	0	0	7	0.127	1	17	665	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
https://www.scandlines.dk	24	www.scandlines.dk	17	0	dk	100	1	0.0022943	0.057883109	2	1	0	0	0	11	0.458	0	0	0	0	0	1	0.042	1	2305	6852	1	1	1	1	0	1	0	2	0	1	0	0	60	1	7	74	0	20	1
https://www.hskonline.com	24	www.hskonline.com	17	0	com	100	1	0.5229071	0.062169499	3	1	0	0	0	11	0.458	0	0	0	0	0	1	0.042	1	556	521	0	0	1	0	0	1	0	5	0	0	1	0	39	5	5	41	12	13	1
https://www.nutritioncare.org	28	www.nutritioncare.org	21	0	org	100	1	0.0799628	0.067909274	3	1	0	0	0	15	0.536	0	0	0	0	0	1	0.036	1	740	5927	0	0	1	0	0	0	0	4	0	1	1	0	16	3	25	101	1	68	1
https://www.tileandstonejournal.com	34	www.tileandstonejournal.com	27	0	com	100	1	0.5229071	0.063779783	3	1	0	0	0	21	0.618	0	0	0	0	0	1	0.029	1	8418	9458	1	1	1	0	0	1	0	2	0	1	1	0	48	9	14	208	18	212	1
https://www.c.line-design.fr	27	www.c.line-design.fr	20	0	fr	100	0.538461538	0.0141483	0.055437841	2	2	0	0	0	12	0.444	0	0	0	0	0	3	0.111	1	456	2808	1	1	1	0	0	1	0	0	1	1	0	0	63	3	17	5	2	32	1
https://www.capeblancoheritagesociety.com	40	www.capeblancoheritagesociety.com	33	0	com	100	1	0.5229071	0.065534568	3	1	0	0	0	27	0.675	0	0	0	0	0	1	0.025	1	329	630	0	0	1	0	0	0	0	3	0	0	0	0	15	2	10	0	2	9	1
https://www.caterinaperez.com	28	www.caterinaperez.com	21	0	com	100	1	0.5229071	0.067312522	3	1	0	0	0	15	0.536	0	0	0	0	0	1	0.036	1	587	230	0	0	1	0	0	1	0	0	0	1	0	1	3	1	5	186	3	5	1
https://auth-document-shared.datingg-voice.workers.dev/	54	auth-document-shared.datingg-voice.workers.dev	46	0	dev	29.03511242	0.214285714	0.0009613	0.056210107	3	2	0	0	0	40	0.741	0	0	0	0	0	6	0.111	1	2	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://mail-service-100960.weeblysite.com/	42	mail-service-100960.weeblysite.com	34	0	com	42.27385072	0.566666667	0.5229071	0.04904495	3	1	0	0	0	24	0.571	6	0.143	0	0	0	4	0.095	1	68	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
