FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
861841.txt,https://www.simacan.com,22,www.simacan.com,15,0,com,100,1,0.5229071,0.072139928,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,720,14570,1,simacan,100,100,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,21,3,7,47,0,44,1
mw204188.txt,http://www.projekampi.com,24,www.projekampi.com,18,0,com,72.78911565,1,0.5229071,0.05894469,3,1,0,0,0,12,0.5,0,0,0,0,0,1,0.042,0,2,2826,1,projekampi,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
827918.txt,https://www.semashow.com,23,www.semashow.com,16,0,com,100,1,0.5229071,0.065632666,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,765,755,1,semashow,100,100,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,6,7,23,0,6,1
7851016.txt,http://furniturewholesaler.net/assistance,40,furniturewholesaler.net,23,0,net,57.29115175,1,0.0384199,0.059680817,3,0,0,0,0,31,0.775,0,0,0,0,0,2,0.05,0,190,914,1,furniturewholesalerassistanc,0,96.55172414,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27,1,1,3,2,8,0
mw15764.txt,http://www.otyfuwyb.cf,21,www.otyfuwyb.cf,15,0,cf,51.06837607,1,0.0001858,0.037522985,2,1,0,0,0,9,0.429,0,0,0,0,0,1,0.048,0,8,49,1,otyfuwyb,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608613.txt,https://www.scapesincokc.com,27,www.scapesincokc.com,20,0,com,100,1,0.5229071,0.06715373,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,4122,11686,1,scapesinkc,0,0,1,1,1,0,0,1,0,9,0,1,0,1,0,0,0,0,1,82,40,25,68,5,120,1
790857.txt,https://www.shivayoga.net,24,www.shivayoga.net,17,0,net,100,1,0.0384199,0.055273615,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1515,8047,1,shivayoga,100,100,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,37,21,19,123,9,128,1
121204.txt,https://www.aerialvisuals.ca,27,www.aerialvisuals.ca,20,0,ca,100,1,0.0101825,0.05966808,2,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,616,425,1,aerialvisuals,100,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,508,1,2,7,0,11,1
32997.txt,https://www.compression.ru,25,www.compression.ru,18,0,ru,100,1,0.0180132,0.067508796,2,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,872,696,1,compession,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,3,5,182,0,22,1
8019762.txt,https://scherledeft.tk/478c3,27,scherledeft.tk,14,0,tk,42.11282788,1,0.000386,0.045420604,2,0,0,0,0,14,0.519,3,0.111,0,0,0,2,0.074,1,9,42,1,scherledeft478c,0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw11066.txt,http://www.sknzy-mysl.vip,24,www.sknzy-mysl.vip,18,0,vip,44.99080882,0.6,0.0001067,0.035966659,3,1,0,0,0,11,0.458,0,0,0,0,0,2,0.083,0,27,75,1,sknzy-mysl,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
896644.txt,https://www.generalreferral.com,30,www.generalreferral.com,23,0,com,100,1,0.5229071,0.06653888,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1259,14177,1,generalreferral,100,100,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,21,4,23,37,1,11,1
14988.txt,https://www.uh.edu,17,www.uh.edu,10,0,edu,100,1,0.0115013,0.043847541,3,1,0,0,0,4,0.235,0,0,0,0,0,1,0.059,1,753,16760,1,uh,100,100,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,15,7,11,35,0,62,1
388490.txt,https://www.cityoflacrosse.org,29,www.cityoflacrosse.org,22,0,org,100,1,0.0799628,0.065552229,3,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,1860,20672,1,cityoflacrosse,100,100,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,27,15,55,1,16,1
119027.txt,https://www.scga.org,19,www.scga.org,12,0,org,100,1,0.0799628,0.067116487,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,2137,3372,1,scga,100,100,0,0,1,0,0,1,0,2,0,1,1,1,0,0,1,0,1,78,7,19,140,13,100,1
444412.txt,https://www.eldisenso.com,24,www.eldisenso.com,17,0,com,100,1,0.5229071,0.069253239,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1106,9460,1,eldisenso,100,100,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,74,17,32,141,4,149,1
138217.txt,https://www.thesmartset.com,26,www.thesmartset.com,19,0,com,100,1,0.5229071,0.066144237,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,1585,9381,1,thesmartset,100,100,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,12,17,15,99,0,101,1
791255.txt,https://www.dontchipmebro.com,28,www.dontchipmebro.com,21,0,com,100,1,0.5229071,0.062921357,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,260,1025,1,dontchipmebro,100,100,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,5,9,0,4,68,1
570048.txt,https://www.stellofoods.com,26,www.stellofoods.com,19,0,com,100,1,0.5229071,0.066834632,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,460,1891,1,stellofoods,100,100,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,14,8,12,29,0,6,1
mw9138.txt,http://www.safety-amazon.jp,26,www.safety-amazon.jp,20,0,jp,66.39753941,0.538461538,0.0230451,0.054259308,2,1,0,0,0,13,0.5,0,0,0,0,0,2,0.077,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700728.txt,https://www.clavinet.com,23,www.clavinet.com,16,0,com,100,1,0.5229071,0.064880136,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,138,215,1,clavinet,100,100,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,7,0,0,9,1
482212.txt,https://www.rvonthego.com,24,www.rvonthego.com,17,0,com,100,1,0.5229071,0.064296594,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1805,2150,1,rvonthego,100,100,0,0,1,1,0,1,0,6,0,1,1,1,0,0,0,0,1,46,4,20,59,0,50,1
231472.txt,https://www.wellbeingofwomen.org.uk,34,www.wellbeingofwomen.org.uk,27,0,uk,100,0.85,0.028555,0.05557332,2,2,0,0,0,20,0.588,0,0,0,0,0,2,0.059,1,2368,9576,1,wellbeingofwomenorg,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,1,0,0,13,3,10,114,0,29,1
637621.txt,https://www.wrenandrita.com,26,www.wrenandrita.com,19,0,com,100,1,0.5229071,0.063577283,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,3288,2679,1,wrenandrita,100,100,1,0,1,0,0,1,0,19,0,0,1,0,1,1,1,0,1,19,8,26,84,0,24,1
40671.txt,https://www.nanog.org,20,www.nanog.org,13,0,org,100,1,0.0799628,0.070255495,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,2194,920,1,nanog,100,100,1,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,1,25,16,46,219,0,26,1
26213.txt,https://www.kitco.com,20,www.kitco.com,13,0,com,100,1,0.5229071,0.069247075,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,8272,542,1,kit,60,60,1,0,1,1,0,1,1,5,0,1,1,1,0,1,1,1,1,158,22,69,865,2,273,1
8106913.txt,https://b5l53s519v.madzisku.pl/aiigro/email@example.com,55,b5l53s519v.madzisku.pl,22,0,pl,29.22891203,0.631578947,0.0069695,0.046877612,2,1,0,0,0,35,0.636,6,0.109,0,0,0,6,0.109,1,95,394,1,b5l53s519vmadziskuaiigroemail@examecom,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
mw4545.txt,http://www.skyppee.com,21,www.skyppee.com,15,0,com,80.36363636,1,0.5229071,0.054375738,3,1,0,0,0,9,0.429,0,0,0,0,0,1,0.048,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641263.txt,https://www.littlecloset.com.br,30,www.littlecloset.com.br,23,0,br,100,0.8125,0.0094423,0.064169824,2,2,0,0,0,16,0.533,0,0,0,0,0,2,0.067,1,35056,2046,1,littleclosetcom,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,262,10,22,1047,0,1068,1
mw130508.txt,http://www.pey-eblaghw.ml,24,www.pey-eblaghw.ml,18,0,ml,51.02040816,0.727272727,0.0001306,0.044500161,2,1,0,0,0,11,0.458,0,0,0,0,0,2,0.083,0,8,49,1,pey-eblaghw,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8116248.txt,https://letstalkaboutit.com.ng/wp-content/themes/generatepress/assets/fonts/apib1anz.comapinetbank.htm,102,letstalkaboutit.com.ng,22,0,ng,19.46915728,0.842105263,0.0003306,0.058552955,2,1,0,0,0,82,0.804,1,0.01,0,0,0,11,0.108,1,9,110,1,letstalkaboutitcomwp-contentthemesgeneratepressassetsfontsapib1anzcomapinetbankhtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
403460.txt,https://www.slotvrbet.com,24,www.slotvrbet.com,17,0,com,100,1,0.5229071,0.061051809,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1590,10478,1,slotvrbet,100,100,0,1,1,0,0,1,1,4,0,0,0,1,0,1,0,0,0,2,23,15,50,4,45,1
80575.txt,https://www.nichepursuits.com,28,www.nichepursuits.com,21,0,com,100,1,0.5229071,0.057507893,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,1436,32258,1,nichepursuits,100,100,1,1,1,0,0,1,1,2,0,1,1,1,1,0,0,0,1,50,7,39,175,2,184,1
8053823.txt,http://dfegmjeawc.loot04frp.club/vnafvra97w/?q=3717065149&id=100,64,dfegmjeawc.loot04frp.club,25,0,club,14.36622409,0.65,0.0006227,0.030737912,4,1,0,0,0,32,0.5,17,0.266,2,1,0,5,0.125,0,9,72,1,dfegmjeawcloot04frpvnafvra97w?q=3717065149&id=100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512459.txt,https://www.womeninthefoodindustry.com,37,www.womeninthefoodindustry.com,30,0,com,100,1,0.5229071,0.058561383,3,1,0,0,0,24,0.649,0,0,0,0,0,1,0.027,1,1007,8047,1,womeninthefoodindustry,100,100,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,62,17,16,85,0,101,1
478247.txt,https://www.comune.ploaghe.ss.it,31,www.comune.ploaghe.ss.it,24,0,it,100,0.470588235,0.012178,0.061486833,2,3,0,0,0,16,0.516,0,0,0,0,0,3,0.097,1,874,489,1,comuneploaghess,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,16,7,5,78,8,23,1
mw144038.txt,http://www.v4switch.com,23,www.v4switch.com,16,0,com,81.83760684,0.875,0.5229071,0.048213114,3,1,0,0,0,10,0.435,1,0.043,0,0,0,1,0.043,0,97,394,1,v4switch,100,100,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,1,0
8106911.txt,https://kazimierz.majeraneksa.com.pl/a1legro/email@example.com,62,kazimierz.majeraneksa.com.pl,28,0,pl,24.64397057,0.48,0.0069695,0.059850309,2,2,0,0,0,46,0.742,1,0.016,0,0,0,7,0.113,1,95,394,1,kazimierzmajeraneksacoma1legroemail@examecom,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0
mw134334.txt,http://www.pay-shaparrak.iranzamin.telegramrobot.xyz,51,www.pay-shaparrak.iranzamin.telegramrobot.xyz,45,0,xyz,25.1041047,0.378378378,0.0017496,0.055979527,3,3,0,0,0,36,0.706,0,0,0,0,0,4,0.078,0,3,162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8097144.txt,https://mobile-bov.firebaseapp.com/,35,mobile-bov.firebaseapp.com,26,0,com,68.00350647,0.545454545,0.5229071,0.059401697,3,1,0,0,0,23,0.657,0,0,0,0,0,4,0.114,1,2,114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257663.txt,https://www.goodgive.co,22,www.goodgive.co,15,0,co,100,1,0.0059772,0.058665096,2,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,433,260,1,goodgive,100,100,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,25,9,11,22,0,24,1
oph01210.txt,https://jpmodafeminina.com.br/redirecttion/cicprince/36969/,58,jpmodafeminina.com.br,21,0,br,26.48784314,0.833333333,0.0094423,0.055634515,2,1,0,0,0,40,0.69,5,0.086,0,0,0,5,0.086,1,11,85,1,jpmodafemininacomredirecttioncicprince36969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479670.txt,https://www.verabradley.org,26,www.verabradley.org,19,0,org,100,1,0.0799628,0.057779636,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,2885,15975,1,verabradley,100,100,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,24,2,15,116,0,16,1
55472.txt,https://www.pmjay.gov.in,23,www.pmjay.gov.in,16,0,in,100,0.666666667,0.0050842,0.043587252,2,2,0,0,0,9,0.391,0,0,0,0,0,2,0.087,1,3977,2499,1,pmjaygov,0,0,1,0,1,0,0,1,0,15,0,1,1,1,0,1,1,0,1,94,51,82,161,2,127,1
51026.txt,https://www.cs.stir.ac.uk,24,www.cs.stir.ac.uk,17,0,uk,100,0.5,0.028555,0.061189037,2,3,0,0,0,9,0.375,0,0,0,0,0,3,0.125,1,810,4020,1,csstirac,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,12,6,8,22,4,79,1
241453.txt,https://www.spivi.com,20,www.spivi.com,13,0,com,100,1,0.5229071,0.05618021,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,6162,25005,1,spivi,100,100,1,1,1,0,0,1,0,13,0,1,1,1,1,0,1,0,1,23,54,59,100,0,76,1
mw135124.txt,http://www.adel-iren.gq,22,www.adel-iren.gq,16,0,gq,60.14957265,0.555555556,0.000053,0.060536864,2,1,0,0,0,9,0.409,0,0,0,0,0,2,0.091,0,20,210,1,adel-iren,100,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100467.txt,https://www.thirtyhandmadedays.com,33,www.thirtyhandmadedays.com,26,0,com,100,1,0.5229071,0.05424821,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,1625,15671,1,thirtyhandmadedays,100,100,1,1,1,0,0,1,0,4,1,1,1,1,0,0,0,1,1,28,5,19,170,1,190,1
mw201505.txt,http://www.xlightsfaces.com,26,www.xlightsfaces.com,20,0,com,55.56066176,1,0.5229071,0.054432212,3,1,0,0,0,14,0.538,0,0,0,0,0,1,0.038,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93845.txt,https://www.ukai.co.jp,21,www.ukai.co.jp,14,0,jp,100,0.714285714,0.0230451,0.053361114,2,2,0,0,0,7,0.333,0,0,0,0,0,2,0.095,1,1735,1257,1,ukaico,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,99,12,20,187,2,70,1
597629.txt,https://www.naturesintentvinegars.com,36,www.naturesintentvinegars.com,29,0,com,100,1,0.5229071,0.062407266,3,1,0,0,0,23,0.639,0,0,0,0,0,1,0.028,1,440,449,1,naturesintentvinegars,100,100,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,24,4,12,36,0,35,1
595795.txt,https://www.nmqf.org,19,www.nmqf.org,12,0,org,100,1,0.0799628,0.050006744,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,8073,15219,1,nmqf,100,100,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,120,2,16,85,0,19,1
814464.txt,https://www.motorindiaonline.in,30,www.motorindiaonline.in,23,0,in,100,1,0.0050842,0.067996594,2,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1039,8047,1,motorndaonlne,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,34,15,22,203,0,211,1
565821.txt,https://www.mooreprotection.net,30,www.mooreprotection.net,23,0,net,100,1,0.0384199,0.073553753,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,509,2650,1,mooreprotection,100,100,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,19,9,22,94,0,93,1
87224.txt,https://www.modernresale.com,27,www.modernresale.com,20,0,com,100,1,0.5229071,0.071420137,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,11148,9049,1,modernresale,100,100,1,0,1,0,0,1,0,20,0,1,1,1,1,1,1,0,1,774,3,21,355,1,195,1
447169.txt,https://www.thelibrarypk.com,27,www.thelibrarypk.com,20,0,com,100,1,0.5229071,0.052345016,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1714,9381,1,thelibrarypk,100,100,1,1,1,0,0,1,0,4,1,0,1,1,0,0,0,0,1,18,9,19,54,0,56,1
454315.txt,https://www.artshub.co.uk,24,www.artshub.co.uk,17,0,uk,100,0.8,0.028555,0.053986986,2,2,0,0,0,10,0.417,0,0,0,0,0,2,0.083,1,1593,15769,1,artshbco,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,38,5,13,150,6,158,1
mw204890.txt,http://www.dncvietnam.com,25,www.dncvietnam.com,18,0,com,92.24489796,1,0.5229071,0.062852929,3,1,0,0,0,13,0.52,0,0,0,0,0,1,0.04,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449907.txt,https://www.irtvazteca.com,25,www.irtvazteca.com,18,0,com,100,1,0.5229071,0.062662085,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,756,1314,1,irtvazteca,100,100,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,37,4,11,45,17,37,1
392578.txt,https://www.filtsep.com,22,www.filtsep.com,15,0,com,100,1,0.5229071,0.05792139,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,2519,2385,1,filtsep,100,100,1,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,65,9,10,117,2,14,1
oph04812.txt,http://u1945821.plsk.regruhosting.ru/32,38,u1945821.plsk.regruhosting.ru,29,0,ru,32.12061295,0.769230769,0.0180132,0.034671195,2,2,0,0,0,19,0.5,8,0.211,0,0,0,4,0.105,0,9,90,1,u1945821plskreghosting3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8057497.txt,https://hdfc-pan-kyc.firebaseapp.com/,37,hdfc-pan-kyc.firebaseapp.com,28,0,com,59.82582688,0.5,0.5229071,0.052313168,3,1,0,0,0,24,0.649,0,0,0,0,0,5,0.135,1,108,8125,1,hdfc-pan-kycfirebaseapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
393197.txt,https://www.whispereditions.com,30,www.whispereditions.com,23,0,com,100,1,0.5229071,0.060135135,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,216,671,1,whispereditions,100,100,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,15,1,5,16,0,11,1
866242.txt,https://www.scivis.it,20,www.scivis.it,13,0,it,100,1,0.012178,0.054972542,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,327,9381,1,scvs,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,5,9,14,26,0,26,1
8004623.txt,https://urlzs.com/efd88,22,urlzs.com,9,0,com,67.34693878,1,0.5229071,0.047459028,3,0,0,0,0,11,0.5,1,0.045,0,0,0,2,0.091,1,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw130484.txt,http://www.iran-khodro.ml,24,www.iran-khodro.ml,18,0,ml,73.33333333,0.636363636,0.0001306,0.060274954,2,1,0,0,0,11,0.458,0,0,0,0,0,2,0.083,0,20,212,1,iran-khodro,100,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
